"mdbf1" "mdbf2" "mdbf3" "mdbf4" "mdbf5" "mdbf6" "mdbf7" "mdbf8" "mdbf9" "mdbf10" "mdbf11" "mdbf12" "time_pre" "lz" "extra" "vertr" "gewis" "neuro" "offen" "prok" "nerd" "uni1" "uni2" "uni3" "uni4" "grund" "fach" "ziel" "wissen" "therap" "lerntyp" "hand" "job" "ort" "ort12" "wohnen" "attent" "gs_post" "wm_post" "ru_post" "time_post" "attent_post"
"110" 4 2 3 1 4 2 3 4 4 4 1 2 58 3.6 1.5 2 5 5 2.5 2.7 3.66666666666667 0 1 0 0 "Weil es naturwissenschaftliche Aspekte gibt." 2 3 5 5 1 2 2 2 1 2 5 3.5 2.75 1.5 55 5
"111" 3 2 1 1 3 3 3 3 2 1 1 2 27 3.8 2.5 1.5 4 3.5 3 3 3.83333333333333 0 1 0 0 "Interesse an Menschen, Neugierde" 4 2 4 5 3 2 2 1 2 3 5 3 3 2.5 21 5
"112" 4 4 1 1 1 3 1 4 1 3 2 4 42 6.4 2 2.5 4 5 5 3.2 3.5 0 1 0 0 "Perspektivisches Wachstum" 4 2 5 3 1 2 1 2 1 3 5 3.25 3.5 1.75 26 5
"113" 4 3 3 1 1 2 4 3 2 3 1 3 42 5 3 4 3.5 3.5 2 3 3 0 1 1 0 "Interessant, Menschen und ihre Entscheidungen/ ihr Handeln besser zu verstehen" 4 2 2 4 3 NA 2 1 2 1 5 3 2.75 2.75 35 5
"114" 2 4 3 2 2 3 3 4 3 4 3 1 47 2.4 1 3.5 5 5 4 2.7 3 0 1 0 0 "Weil ich dafür interessiert bin, ein Teil neuer Entwicklungen in diesem Bereich zu sein" 4 2 4 5 3 1 1 1 2 3 5 NA NA NA NA NA
"115" 3 2 2 2 2 2 3 3 2 2 2 2 46 5.4 2.5 3.5 2.5 2.5 3 2.8 3.66666666666667 0 0 1 0 "Interesse durch erfahrungen im leben " 1 1 2 4 3 2 1 2 1 2 5 2.75 2.75 2.5 85 5
"116" 3 2 3 2 2 3 3 4 3 3 2 3 30 4.8 2.5 2.5 3 4.5 4.5 2.9 3.83333333333333 1 1 1 0 "Intresse an der klinischen Psychologie, Mental Health" 4 2 4 5 3 2 1 1 1 3 5 2.75 2.25 2.25 56 4
"117" 3 2 3 2 2 3 2 3 2 3 2 3 23 4.4 3.5 5 2.5 3.5 4.5 2.7 2.5 0 1 0 0 "Eigeninteresse, Wunsch etwas zu bewegen " 5 3 4 4 3 2 1 2 1 1 5 3 2.75 2.5 33 5
"118" 3 2 2 3 3 4 3 3 1 3 1 4 97 3.6 4 3.5 2.5 4.5 4.5 2.8 3.5 0 1 0 0 "Um das Verhalten einer Person besser nachvollziehen können " 1 2 4 5 3 2 1 2 1 2 4 2.5 2 2.5 82 4
"119" 3 3 2 1 3 2 3 3 2 2 1 3 45 5.2 4 2.5 4 3.5 3.5 2.9 2.83333333333333 0 1 0 0 "Weil ich wissen möchte warum sich Menschen verhalten, wie sie sich verhalten." 2 3 4 5 1 2 1 2 3 2 4 3.25 2.75 2.25 31 4
"120" 2 2 3 2 2 2 3 2 3 1 3 2 87 4.4 3.5 4 4 5 4.5 2.7 4 0 1 1 1 "Mein Traumstudium - klinische Psychologie- Therapeut:in werden" 4 2 4 5 3 2 2 1 2 1 5 2 2.75 3 31 5
"121" 2 2 3 3 3 2 3 2 3 3 2 3 59 4.8 2 3.5 3 4.5 5 2.8 4 0 1 1 0 "Interesse an der Forschung und Wissenschaf dahinter, Interesse an Job mit Kontakt zu Menschen, Zukunftssicheres Feld." 4 2 4 5 3 2 1 1 2 1 5 2.75 2.5 2.75 56 5
"122" 2 2 3 3 3 2 3 2 3 3 2 3 59 4.8 2 3.5 3 4.5 5 2.8 4 0 1 1 0 "Interesse an der Forschung und Wissenschaf dahinter, Interesse an Job mit Kontakt zu Menschen, Zukunftssicheres Feld." 4 2 4 5 3 2 1 1 2 1 5 NA NA NA NA NA
"123" 3 4 1 1 1 3 2 4 1 3 1 2 75 5.8 4.5 4 4.5 3 1.5 2.8 2 0 1 1 0 "Ich möchte etwas menchenbezogenes machen " 3 1 2 5 1 2 2 2 1 2 5 NA NA NA NA NA
"124" 3 2 2 2 3 3 2 3 1 3 2 3 38 5.4 4 3.5 4.5 2 3.5 2.9 2.5 0 1 1 0 "Interesse am Menschen und den Unterschieden, die uns auszeichnen " 4 2 4 5 3 2 2 1 2 1 4 3 2.75 2.25 22 4
"125" 3 2 3 1 3 3 3 3 3 3 1 3 40 5.6 2.5 4 3 4 4 2.5 3.16666666666667 0 1 1 0 "Interesse daran wie und warum der Mensch handelt " 1 2 4 5 3 2 2 1 3 1 5 3 2.75 2.25 30 5
"126" 3 2 1 2 2 3 2 3 1 2 1 3 37 3.6 2 4.5 2.5 3.5 4 3 4.16666666666667 0 1 0 1 NA 1 3 4 2 3 2 1 1 2 3 4 3 2.75 1.75 37 5
"127" 3 2 3 1 2 2 3 4 2 4 1 2 41 5 4 3 1.5 5 5 2.7 3.66666666666667 0 1 1 1 "Interessant " 4 2 2 5 1 2 2 1 2 4 4 3.25 3.25 1.75 53 4
"128" 3 2 2 2 3 2 4 3 3 2 3 2 131 3.2 3 2 3.5 4 2.5 2.6 3.5 0 1 0 0 "weil es mich interessiert " 1 1 4 4 1 2 2 2 1 2 5 NA NA NA NA NA
"129" 4 3 3 1 2 3 2 4 3 4 1 3 50 6 5 4 5 3 1.5 2.5 2 0 1 1 0 "Um anderen Menschen zu helfen (in Form von Therapie)" 4 2 2 5 3 2 1 2 2 2 5 NA NA NA NA NA
"130" 3 3 2 1 2 3 3 3 2 2 1 3 27 4.8 2.5 3.5 4 4 3 2.4 2.83333333333333 0 1 0 0 "Berufswunsch in der Forensik zu arbeiten + allgemeines Interesse" 4 4 3 5 3 2 2 1 1 3 5 3 2.25 2 44 4
"131" 3 2 2 1 3 3 4 3 2 3 2 3 54 4.4 3 2.5 1.5 3.5 5 2.4 3.66666666666667 0 1 0 0 "Ich möchte Menschen helfen, entstigmatisieren und etwas zurücklassen bzw. einen Einfluss auf Menschen haben." 1 2 5 5 3 2 1 1 1 1 4 2.75 1.5 3 63 4
"132" 3 3 1 1 1 4 1 3 2 1 1 3 75 5.4 1.5 3.5 3.5 3.5 4.5 2.8 3.33333333333333 0 1 0 0 "Persönliches Interesse, Möglichkeit, die Kenntnisse sinnvoll einzusetzen und Menschen zu helfen" 3 2 3 4 1 2 1 2 1 4 5 3 3.25 3 48 5
"133" 4 2 1 1 1 3 4 4 2 2 1 3 36 4.4 3.5 3 3.5 3 4 2.5 2.66666666666667 0 0 0 1 NA 4 2 2 4 3 2 1 2 1 3 5 NA NA NA NA NA
"134" 2 2 3 3 3 2 3 2 3 2 2 2 32 3.8 1.5 1 2.5 2.5 4 2.4 4.66666666666667 0 1 0 0 "Interesse aufgrund persönlicher Erfahrungen (Trauma und Therapie) und meinem sozialen Umfeld (Freunde)" 4 2 4 4 1 2 1 2 1 2 4 2.25 2 3.5 34 5
"135" 3 4 1 1 1 4 1 4 1 4 1 4 32 6.2 4.5 4.5 3.5 1.5 2 2.8 3.16666666666667 0 1 1 1 "Interesse an der menschlichen Psyche " 3 2 3 5 1 2 2 1 2 1 5 3.25 3 1.75 31 5
"136" 3 3 2 2 2 3 1 4 2 2 1 2 25 2.2 1 4 2 5 4.5 2.9 3.5 0 1 0 1 "kann mir nicht vorstellen, etwas anderes zu studieren bzw. machen" 1 4 3 5 1 2 2 1 2 3 5 3 3.25 3 22 5
"137" 4 3 2 1 1 4 2 4 1 3 2 4 46 5.8 5 3.5 4 5 5 2.9 3.33333333333333 1 1 1 0 "Interesse" 4 2 3 5 1 2 2 1 1 3 5 NA NA NA NA NA
"138" 3 4 2 2 1 3 2 3 2 2 3 2 33 6.2 4.5 3 2.5 3 3.5 2.5 2.83333333333333 0 1 1 0 "Menschliches Verhalten ergründen " 4 2 5 5 3 1 1 2 1 2 4 3.25 2 2.5 27 5
"139" 3 3 2 2 2 4 2 3 2 3 2 4 43 4 4 3.5 3.5 1.5 4.5 2.6 1.83333333333333 0 1 1 0 "Psychologie Unterricht in der Schule- Interresant und der Wunsch Menschen zu helfen " 4 2 4 4 3 2 1 1 3 1 4 NA NA NA NA NA
"140" 3 3 1 1 1 3 2 3 1 3 1 3 36 5.6 4 4 4.5 2 3 2.6 2.16666666666667 1 1 1 1 " - die Arbeit mit Menschen, - Interesse am Inhalt des Fachs " 4 2 3 4 3 2 1 1 1 3 5 3.25 2.75 2.5 34 5
"141" 3 3 2 1 1 3 2 3 2 3 2 3 30 5.4 3.5 4 2.5 3.5 4 2.5 3.16666666666667 0 1 1 0 "Ich möchte Menschen helfen" 4 2 4 5 3 2 2 1 2 1 4 3.25 3.25 2.25 26 4
"142" 3 3 2 1 1 2 1 3 2 2 1 3 105 6.2 4 4 3 3 4.5 3 2.33333333333333 0 0 1 0 "Ruhm und Ehre " 5 3 5 5 2 2 1 1 1 4 5 2.75 2.25 2.5 28 4
"143" 3 2 3 2 2 4 4 2 3 2 3 2 37 2.4 2 3.5 3 3 3.5 2.7 3.5 0 1 0 0 "Interesse " 4 2 3 4 1 2 1 1 1 3 4 2.5 2.5 2.5 30 4
"144" 4 4 1 1 1 4 2 4 1 3 1 4 68 6.4 3 3.5 2 2 1.5 2.9 3.16666666666667 0 1 0 0 "Ich möchte die Inhalte lernen und im Alltag anwenden." 3 3 4 5 3 2 1 1 1 1 5 NA NA NA NA NA
"145" 2 2 3 2 3 1 2 2 4 2 3 2 40 3 2 4 3.5 4 4.5 2.5 3.83333333333333 0 1 0 0 "Die Möglichkeit in einem Beruf zu arbeiten, welcher zu meiner Persönlichkeit passt." 4 3 4 5 1 2 1 2 1 1 5 NA NA NA NA NA
"146" 3 2 1 1 1 3 3 4 1 3 3 4 53 6.2 3.5 3 2.5 1 2.5 2.4 2.83333333333333 0 1 0 0 "Wollte das schon immer machen " 1 1 4 5 3 2 1 2 1 2 5 NA NA NA NA NA
"147" 2 2 3 3 2 2 4 2 4 2 3 2 28 5.4 2.5 3.5 3 4.5 3 2.7 3.5 1 1 0 1 "Super interessant " 4 2 3 4 1 1 1 1 1 1 4 NA NA NA NA NA
"148" 2 2 3 1 3 3 3 3 3 2 2 2 39 6.4 3 4 4.5 3.5 3.5 2.4 1.33333333333333 0 1 0 0 "Um Menschen zu helfen" 4 2 2 5 1 2 1 2 1 2 5 2 1.75 3.5 58 5
"149" 2 1 3 3 3 2 4 2 3 2 2 2 40 5.2 2.5 3 4 3.5 4.5 2.7 2.66666666666667 1 1 1 0 "Interesse, Zukunft" 1 2 3 5 2 2 2 1 1 1 4 2.5 2.25 2.75 35 4
"150" 3 2 2 2 3 3 4 3 1 3 1 3 30 4.8 2 4 4 4 3.5 2.8 4 0 1 0 0 "Ich habe mich schon immer für das Thema interessiert " 4 4 5 5 1 2 1 2 1 1 4 3.25 1.75 2.75 24 4
"151" 4 3 3 1 1 2 2 4 1 3 1 3 32 6.8 4.5 5 2.5 3 5 2.6 3.16666666666667 0 1 1 0 "Kindheits-/ Jugendtraum " 1 4 5 5 3 2 1 1 1 1 5 3.25 3.25 1.75 14 5
"152" 3 3 2 1 2 3 3 3 3 3 1 2 71 5.6 4 5 4.5 4 4.5 2.8 3.16666666666667 1 1 0 0 "Fälle in Familie, Freundeskreis und selbst. Interesse an den vielen Optionen. Themen klingen interessant " 4 2 4 5 3 2 1 2 1 2 5 3 2 2.75 37 5
"153" 3 3 1 1 1 2 1 3 1 3 1 2 19 4 3.5 4 4 3.5 4 2.6 2.33333333333333 0 1 0 0 "Späterer Berufsweg" 4 2 3 5 3 2 1 1 2 3 5 NA NA NA NA NA
"154" 3 2 3 1 3 2 4 4 3 2 2 2 34 4.8 2 5 4 4 4.5 2.8 2.83333333333333 0 1 0 0 "Interesse, Menschen helfen " 1 2 3 4 1 2 1 2 1 2 4 NA NA NA NA NA
"155" 3 2 2 1 2 3 2 3 2 1 3 2 53 3.4 2.5 4 2.5 3.5 3 3.2 3.5 1 0 0 0 "Interessent in Therapy " 4 2 3 4 1 2 2 1 1 1 4 NA NA NA NA NA
"156" 2 3 1 1 1 3 2 3 1 2 1 3 48 5.8 3.5 3 3.5 2 4.5 2.5 3.66666666666667 1 1 0 0 "Überschneidung naturwissenschaftlicher und gesellschaftswissenachtflicher Felder " 2 1 3 4 1 2 2 2 1 2 4 3.25 3.25 2.25 24 5
"157" 4 3 3 1 2 2 3 4 3 3 2 2 33 5.2 2.5 3 2.5 3.5 5 3.1 4.16666666666667 1 1 1 0 "Kinder und Jungendtherapie " 3 2 5 5 1 2 2 2 1 2 5 3.25 1.75 2.5 61 5
"158" 4 3 2 1 1 2 2 4 2 3 1 3 28 4.2 2 4 5 3 4.5 2.7 3.83333333333333 0 1 0 1 "Als Kind/Jugendlicher immer ein guter Therapeut gewesen :)" 2 2 5 5 1 2 2 2 1 4 5 3.25 3.25 2.75 19 5
"159" 4 3 1 1 1 4 2 4 1 4 1 4 59 4.6 3.5 3 4.5 3.5 5 2.4 4 0 1 0 0 "Interesse am Menschen und wie er funktioniert. " 1 3 4 4 3 2 1 2 1 1 5 NA NA NA NA NA
"160" 3 3 2 1 2 4 3 3 1 3 1 4 36 6 5 3 2.5 2.5 5 2.9 2.83333333333333 1 1 0 0 "Menschen verstehen " 4 2 1 5 3 1 2 1 3 1 5 NA NA NA NA NA
"161" 3 3 2 2 2 3 2 3 2 3 2 3 46 6.2 4 2.5 4.5 2 3.5 2.6 3.33333333333333 0 1 0 0 "Spätere Arbeit, bei der der Mensch im Vodergrund steht; großes Interesse für Erleben und Verhalten" 1 3 5 5 1 2 2 2 1 2 5 NA NA NA NA NA
"162" 3 2 1 1 1 3 3 3 1 2 1 3 25 3.8 4 4 2.5 4.5 4.5 2.7 2.5 0 1 1 1 "Interessantes Fach und Berufsaussichten" 4 2 3 5 3 2 1 1 1 3 5 3.25 3 2 25 5
"163" 3 3 3 1 2 3 2 4 2 4 1 2 43 6.8 5 2.5 5 2.5 4.5 2.8 3.16666666666667 0 1 1 0 "Die Psychoanalyse interessiert mich sehr. " 3 2 3 5 1 2 1 1 3 1 5 3 1.75 2.25 39 5
"164" 1 3 1 4 2 1 2 1 4 1 4 1 28 3.6 2 4.5 3.5 4.5 2 3.1 2.33333333333333 0 1 1 0 "wollte ich seit der 11 machen " 4 2 2 5 1 1 1 1 2 1 5 NA NA NA NA NA
"165" 3 3 3 3 2 1 2 3 4 3 2 2 61 3.4 2.5 4 4 4 3.5 2.3 2.83333333333333 0 1 0 0 "Menschen verstehen und helfen" 3 2 4 5 1 2 1 2 1 2 4 3 2.5 2.5 38 4
"166" 3 2 1 2 3 3 3 2 1 2 1 3 40 4.2 2.5 4.5 2.5 2 4.5 2.3 3.5 0 1 1 0 "Interesse" 4 4 2 5 3 2 2 2 1 1 5 3.5 2.5 2.25 27 5
"167" 3 4 3 2 1 2 1 3 2 2 2 3 116 6.2 4.5 3.5 4.5 4 1.5 2.9 3.16666666666667 0 1 1 0 "Mischung aus Naturwissenschaft und Geisteswissenschaft" 3 1 3 5 1 2 2 2 1 2 5 2.25 2.75 3.25 69 5
"168" 3 1 3 3 3 2 3 2 2 2 3 2 60 4.8 2.5 4.5 5 4 3.5 2.8 3 1 0 0 0 "Das Studium ist Voraussetzung für Psychotherapeutische Ausbildung " 4 2 3 3 2 2 1 1 1 3 5 2.5 2.75 2 58 5
"169" 2 2 2 1 2 2 2 3 4 4 2 3 68 5 2 5 3 5 4.5 2.1 2.5 0 1 1 1 "Es wahr meine zweite Wahl " 4 2 5 3 3 2 1 2 1 4 5 2.25 2.75 2.25 22 3
"170" 3 3 3 1 2 2 2 3 1 2 2 3 19 4.6 3 3 4 2.5 3 2.9 3.33333333333333 1 1 1 1 "Weil es ein interessantes Fach ist" 1 1 4 4 3 2 1 1 1 3 5 NA NA NA NA NA
"171" 3 2 2 3 4 3 4 2 1 2 3 2 83 6.2 4 2.5 4.5 4 3 2.5 2.16666666666667 0 1 1 0 "Weil ich mich schon immer dafür interessiere, wie Menschen denken und fühlen und wie bestimmte Gedanken/Einstellungen/Haltungen zustande kommen" 1 2 3 5 1 2 2 1 2 3 5 2.25 2.25 2.75 41 5
"172" 3 2 2 2 3 2 3 3 3 3 2 2 61 5.6 3.5 2.5 5 3.5 4 2.8 2.66666666666667 0 1 0 0 "Interesse am menschlichen Verhalten, viele verschiedene Optionen für den späteren Beruf, wird immer gebraucht" 4 2 5 5 3 2 2 2 2 4 5 2.75 2 3 53 5
"173" 2 2 3 1 2 2 4 2 4 1 2 2 39 3.6 2 5 4 5 4 2.6 2.66666666666667 1 1 1 0 "Interesse " 4 4 3 5 3 2 2 2 2 2 5 3.25 2.25 2.25 24 5
"174" 2 1 4 3 4 1 4 2 4 1 2 2 24 4.4 1 2.5 2.5 5 4.5 2.5 3.66666666666667 0 1 0 0 "Erfahrungen mit Menschen in meinem Umfeld, denen es schlecht geht, und der Wunsch riesen zu helfen" 4 2 3 3 3 2 1 2 1 2 4 2.25 1.75 3 20 4
"175" 2 1 3 2 3 1 4 2 1 2 2 2 37 3.8 2.5 4 2 4 4 2.7 2.66666666666667 0 1 1 0 "Weil es mich interessiert zu wissen, wie der Mensch funktioniert." 4 2 3 3 3 2 1 1 2 3 4 2.75 2.25 2.75 48 5
"176" 3 3 2 2 3 3 3 3 2 2 2 3 30 4.8 4 4 3 4.5 4.5 2.6 3.83333333333333 0 1 1 1 "Starkes Interesse an den Hintergründen vieler Taten und starke Empathie" 3 4 4 4 3 2 2 1 1 1 5 2.5 2.5 2.5 33 5
"177" 3 2 3 1 2 3 2 4 2 3 2 3 52 5.8 4 4 2.5 3 4.5 2.8 4.16666666666667 1 1 1 0 "Großes Interesse, liebe es zu lernen darüber" 4 2 4 3 2 2 1 1 2 1 5 2.75 2.75 1.75 31 5
"178" 3 3 1 1 3 3 3 3 2 2 1 3 39 7 4 3.5 4.5 2 5 2.5 3.5 0 1 0 0 "Aus Interesse" 1 1 2 4 1 2 1 1 2 1 5 3.25 2.75 2.25 29 5
"179" 3 3 2 1 1 2 2 4 3 4 2 3 38 6.4 4 4.5 4.5 3 5 2.5 2 1 1 1 1 "Um zu verstehen, wie Menschen Lernen und Gruppendynamiken entstehen" 1 1 4 5 3 2 2 1 2 3 5 NA NA NA NA NA
"180" 3 2 3 2 4 2 4 2 3 1 3 2 37 2.4 2.5 3 3.5 5 3.5 2.7 2.83333333333333 0 1 1 0 "Menschen helfen, Psychologie als Wissenschaft kennenlernen" 4 2 3 5 3 2 2 1 2 1 5 2 2.25 3 45 5
"181" 3 2 2 2 3 2 4 3 3 2 3 2 38 2 3.5 4 2.5 4.5 2.5 3 2.16666666666667 0 1 0 0 "Großes Interesse an Psychologie" 1 2 2 4 3 2 2 1 2 3 5 2 1.75 2.75 35 5
"182" 3 2 2 2 3 4 3 3 1 2 1 4 81 2.4 3.5 2 3.5 4 1 2.3 3.66666666666667 0 1 1 0 "Robin Williams" 3 2 4 5 1 2 2 2 1 2 5 2.75 1.75 2.25 45 5
"183" 3 2 2 2 2 3 2 3 3 3 2 3 56 5.8 2.5 4.5 4.5 2.5 3 2.2 2.33333333333333 0 1 0 0 "Menschen helfen/unterstützen" 3 4 3 5 3 2 1 2 1 2 5 NA NA NA NA NA
"184" 3 4 1 1 1 3 1 3 1 3 1 3 33 4.4 2 3.5 4 3 3 2.5 3.16666666666667 0 1 0 0 "Interesse und passende breite Berufsmöglichkeiten" 4 2 3 5 3 2 1 1 2 2 5 3 3 2.5 41 5
"185" 3 3 4 2 1 2 1 3 4 2 4 2 38 6 2.5 3 3.5 4.5 3.5 2.8 3.66666666666667 0 1 1 1 "Interesse" 2 2 3 5 3 2 1 1 2 3 5 3.25 2.75 3.5 28 4
"186" 3 1 2 2 4 3 4 2 2 2 3 2 59 5.4 1 3 4 3.5 4.5 3 3.66666666666667 0 1 0 0 "Menschen sind für mich das interessanteste worüber es zu lernen gibt. Ich möchte auch Therapeutin werden, um Menschen zu helfen, da ich sehr empatisch bin." 4 2 5 3 1 2 2 1 1 2 5 2.5 1.5 2.75 52 5
"187" 4 3 1 1 1 3 1 4 1 3 1 3 33 6 2 1.5 5 2.5 4.5 2.7 3 0 0 0 0 "Interesse an den empirischen Inhalten" 4 3 5 4 3 2 1 2 2 3 5 NA NA NA NA NA
"188" 3 3 2 1 2 3 3 4 1 3 1 3 38 5 4 3.5 3.5 3.5 4 2.8 4 1 1 1 0 "Weil mich das Fachgebiet der Psychologie sehr interessiert. Außerdem mag ich sozialen Kontakt zu Menschen!" 3 2 4 5 3 1 1 2 1 2 5 3 2.25 2.5 159 5
"189" 3 2 2 1 2 3 2 4 1 3 1 3 42 5 3.5 4 4.5 2.5 5 2.7 3.33333333333333 0 1 0 0 "finde es interessant, warum Menschen wie handeln" 4 2 4 4 3 2 2 1 2 3 5 3 2.5 2.5 76 5
"190" 3 3 2 1 1 2 2 3 3 3 3 2 58 6.2 3 4.5 4 4 4.5 2.5 2.5 0 1 1 0 "Menschen helfen" 1 4 5 5 3 2 1 2 1 2 4 2.5 2 2.5 63 5
"191" 4 3 1 1 2 3 2 4 1 4 1 4 33 6 4 3.5 3 4 2.5 2.3 2.66666666666667 0 1 1 0 "Ich kam in Medizin nich rein" 1 4 5 4 1 2 2 1 2 3 4 3 2.5 2 26 4
"192" 3 2 2 1 2 2 3 3 3 3 1 2 68 5.6 5 4.5 2.5 2.5 4.5 2.7 1.33333333333333 0 1 1 1 "weil es mich interessiert, warum wir so handeln wie wir handeln" 1 1 4 5 3 1 1 1 1 3 4 2.75 2.5 2.5 41 3
