"mdbf1_pre" "mdbf2_pre" "mdbf3_pre" "mdbf4_pre" "mdbf5_pre" "mdbf6_pre" "mdbf7_pre" "mdbf8_pre" "mdbf9_pre" "mdbf10_pre" "mdbf11_pre" "mdbf12_pre" "lz" "extra" "vertr" "gewis" "neuro" "offen" "prok" "nerd" "grund" "fach" "ziel" "wissen" "therap" "lerntyp" "hand" "job" "ort" "ort12" "wohnen" "uni1" "uni2" "uni3" "uni4" "attent_pre" "gs_post" "wm_post" "ru_post" "attent_post"
"116" 3 2 1 1 2 2 3 3 2 3 2 2 5.8 4 5 4 4.5 4.5 1.6 3.5 "Interesse, Wunsch in diesem Feld beruflich tätig zu sein." 4 2 3 5 3 2 1 2 2 4 0 1 0 1 6 NA NA NA NA
"117" 3 3 1 1 1 4 3 4 1 3 1 2 4.8 3 4.5 3.5 3.5 3.5 2.4 2.66666666666667 "Interesse zufällig durch ein Buch gefunden" 2 2 5 5 3 2 1 1 2 4 0 1 1 1 6 3.75 3 3.75 6
"118" 3 4 2 2 2 4 1 3 1 2 3 3 6.8 4.5 4 2.5 4 5 3.4 3.16666666666667 "Interesse" 4 2 3 5 1 2 1 1 1 3 0 1 1 0 6 NA NA NA NA
"119" 3 2 2 1 4 2 3 3 3 2 3 1 3.6 1.5 2 3.5 4 2 2.8 3.16666666666667 "Ich möchte einen Teil beitragen." 4 2 2 5 3 2 1 1 2 1 0 1 0 0 6 3.5 1.75 2.75 6
"120" 3 1 3 1 3 3 3 4 2 4 1 2 6.2 4.5 4.5 3.5 3 2.5 3 2.66666666666667 "Traum " 2 3 5 4 3 2 1 2 2 2 0 1 1 0 6 3.5 2 3.5 6
"121" 4 3 2 1 2 4 1 3 1 3 1 4 3.2 2 4 3 3.5 3.5 3.5 1.83333333333333 "menschliche Psyche und Verhalten verstehen" 4 2 2 4 1 2 2 1 3 1 1 1 0 0 6 3.5 3 4 6
"122" 3 3 2 1 2 3 3 3 1 3 1 3 5.6 3.5 4 4 2.5 3.5 2.9 2.5 "Interesse" 1 2 2 5 3 2 1 1 2 3 0 1 1 1 6 NA NA NA NA
"123" 2 2 2 1 3 2 3 3 1 2 1 3 5.4 2 4 3.5 4.5 3 2 3 "Interessant, möchte in die klinische Psychotheraphie " 1 2 3 5 1 2 1 1 2 3 0 1 0 0 6 2.25 1.25 2.5 6
"124" 2 3 3 2 2 2 2 2 3 2 3 1 5.6 3.5 3 3.5 4.5 2.5 3 3.33333333333333 "spannende Berufsoptionen" 1 4 4 4 3 2 1 1 2 1 0 1 1 0 5 2 2.25 2 5
"125" 3 2 3 1 2 3 3 2 2 2 1 3 4.6 2 3 3 2.5 4.5 2.2 4 "Interesse an Arbeit als Therapeut" 4 2 3 5 3 2 1 2 1 2 0 1 1 0 5 3 2.5 3.5 6
"126" 3 2 1 1 2 3 1 3 1 3 1 2 4.8 2.5 5 4 3.5 5 2.4 3.83333333333333 "Interesse" 2 3 3 4 3 2 2 1 2 1 0 1 1 0 6 3.75 3.25 3.5 5
"127" 3 3 2 1 1 3 2 3 1 3 1 3 5.6 4 3.5 2.5 2 3 2.6 3.33333333333333 "interesse an der Thematik" 2 2 4 5 3 2 2 2 1 2 0 1 0 0 6 3.5 3 3 6
"128" 2 2 3 3 4 2 4 2 3 1 2 1 3.2 2 2.5 3 4.5 4 2.9 2.5 NA NA NA 2 5 1 2 2 1 1 NA 1 1 1 1 5 3.75 2.75 3 6
"129" 4 3 2 1 1 4 2 4 2 4 1 3 6.2 2.5 4 4 3 4 2 2.83333333333333 "Menschen mit Therapie helfen" 2 2 4 5 3 2 1 2 1 2 0 1 1 0 5 3.5 3 3.25 5
"130" 4 3 1 1 2 3 2 4 1 4 1 3 5.4 4 5 4 4 4.5 2.3 3.66666666666667 "Interesse am Menschen" 4 2 5 3 1 2 1 1 1 1 0 1 1 0 5 3.75 4 4 6
"131" 3 2 3 2 3 2 3 3 3 2 2 2 4.4 3 2.5 3 4.5 4.5 3.1 3.16666666666667 "Psychologie Unterricht in Schule hat Spaß gemacht" 3 2 2 4 2 1 2 1 1 3 0 1 0 1 5 NA NA NA NA
"132" 3 3 1 2 2 3 2 3 2 3 2 3 5.6 3 4 3 3 4.5 3 3.16666666666667 "Interesse und Faszination für menschliche Psyche und sinnvoll" 4 2 4 4 1 2 1 1 1 3 0 1 1 0 5 3 2.75 3.5 6
"133" 3 2 2 2 3 2 3 2 2 2 3 2 5.4 2.5 4 3.5 3.5 3 3.1 3.5 "klingt sehr interessant, notwendig für Berufswunsch" 1 2 3 4 1 1 2 1 2 4 0 1 0 0 6 NA NA NA NA
"134" 3 2 2 2 3 3 3 3 3 2 2 3 4.2 2.5 4 3 3 4 2.3 2.66666666666667 "Ich möchte Psychotherapeutin werden" 4 2 3 2 3 2 1 1 1 3 0 1 1 0 5 NA NA NA NA
"135" 4 4 3 1 1 1 2 3 3 4 3 3 4.4 2.5 3 3 3 3 2.4 3 "Ich habe meine Interesse an Leute zu behandeln " 1 2 3 3 3 2 2 1 1 3 1 0 0 0 5 NA NA NA NA
"136" 2 2 3 2 3 1 3 3 3 2 2 2 4.4 1.5 3.5 3 4.5 3 3.5 3.33333333333333 "Interesse, Verbindung aus Natur und Geisteswissenschaften " 2 3 4 4 1 2 2 1 2 3 0 1 1 0 5 3 2.25 2.5 4
"137" 2 2 3 3 4 1 3 2 3 1 4 1 2.8 2.5 3.5 2.5 5 3.5 3 3.16666666666667 NA NA NA 3 3 1 2 2 2 2 NA 0 1 0 0 4 2 2.25 2.25 3
"138" 3 2 2 1 2 3 3 4 3 2 2 2 6.4 3 2 4 3.5 2 2.7 1.83333333333333 "Interesse daran, herauszufinden warum der Mensch ist wie er ist" 4 4 2 5 NA 2 1 2 1 2 0 1 1 0 6 3 2.5 2.5 5
"139" 2 3 1 2 2 3 1 3 1 2 1 2 5.4 4.5 2.5 4.5 2.5 2.5 2.1 2.5 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 NA NA NA NA NA
"140" 3 3 2 1 3 2 3 3 2 2 2 3 5.6 2 3 3.5 2.5 3.5 2.4 3.33333333333333 "Interesse am Geist" 1 3 4 4 1 2 1 1 1 2 0 0 0 0 4 3.25 2 3.25 5
"141" 3 1 4 2 1 4 2 3 3 2 4 3 5 5 2.5 4 1 3 3.1 3.5 "platz bekommen" 1 2 5 5 3 2 2 1 2 1 1 1 0 0 5 NA NA NA NA
"142" 3 3 1 1 1 3 1 4 2 4 1 2 6.4 4 2.5 4.5 3.5 4.5 2 1.83333333333333 "Therapeutin werden, Arbeit mit Menschen, Interesse an Menschen" 4 2 4 5 3 2 1 2 1 4 0 1 0 0 5 3.5 3.75 3 6
"143" 2 3 2 1 1 3 1 3 2 2 3 3 5 3.5 4 3.5 4 3.5 2.1 3 "aufgrund eines FSJ Praktikums = Traumberuf" 4 2 3 4 3 2 2 1 1 3 0 1 1 0 5 2.25 2.5 1.5 5
"144" 2 3 2 1 2 2 2 3 3 2 1 2 5.2 3.5 3 4 3.5 4.5 1.9 3.16666666666667 "ich interessiere mich sehr für die psyche der Menschen und war selber schon oft in Berührung mit Psychotherapeuten und Therapie " 1 4 5 3 1 2 1 1 1 2 0 1 1 0 6 3.25 2.75 2.5 5
"145" 3 4 2 1 1 3 1 3 2 3 1 3 6 3.5 2.5 4 2.5 3 1.9 3 "Akademische Anerkennung,Interesse,finanzielle Möglichkeiten" 1 3 4 5 3 2 2 1 2 3 0 1 0 1 6 NA NA NA NA
"146" 3 2 1 1 2 2 2 4 2 2 1 2 5.4 3 4.5 4 4 3.5 2.8 3.33333333333333 "Weil es sich mit meinen Interessen deckt." 3 3 4 4 1 2 2 2 1 2 0 1 0 0 4 4 3 3.5 5
"147" 4 4 2 1 1 3 1 4 2 3 1 3 6.8 3 4 5 2 2 2.2 2.66666666666667 "Ich finde es interessant den Menschen und sein Verhalten zu studieren." 1 2 4 3 3 2 1 2 1 3 0 1 1 0 6 3.5 3.25 3.5 6
"148" 3 2 1 2 3 2 4 3 2 2 1 3 4.2 2 3.5 4 5 2.5 2.4 3 "Interesse" 2 2 3 5 3 2 1 2 2 2 0 1 0 0 6 3.25 2.5 3.25 6
"149" 3 3 2 1 2 3 3 4 2 3 1 3 2.8 2.5 3 2.5 4 4 2.9 4.16666666666667 "Karrieremöglichkeiten, tiefgründiges Interesse, Anerkennung" 4 2 5 5 1 1 1 1 3 2 0 1 1 0 6 4 3.25 2.75 6
"150" 2 2 1 1 2 2 2 2 1 2 1 3 5.2 4 2.5 3.5 2.5 3.5 2.8 2.66666666666667 "Sinnvolle Aufgabe " 4 2 5 5 1 2 2 2 2 3 0 0 1 0 4 NA NA NA NA
"151" 3 4 2 1 1 3 1 3 1 3 2 3 6.2 4 4.5 3 1.5 3 1.8 2.5 "Interesse" 1 2 3 4 1 2 2 1 2 NA 0 1 1 1 6 2.5 2.5 2.5 3
"152" 3 1 3 1 3 1 4 3 4 2 4 1 5.6 2.5 2 3 4 5 2.7 4.33333333333333 "Menschen helfen" 4 2 3 4 3 2 1 2 3 2 0 1 1 0 6 3.5 2 3 6
"153" 3 2 1 1 3 3 3 3 1 2 1 2 5.6 4 5 3.5 4 3.5 2.6 3.16666666666667 "persönliches Interesse" 4 2 4 5 1 2 2 1 2 1 0 1 1 1 5 3.5 2.5 2.75 5
"154" 2 3 3 3 2 2 1 2 1 2 2 2 5.6 2.5 4 4.5 4.5 3 2.4 2.33333333333333 NA NA 2 3 4 1 2 1 1 2 4 0 1 0 0 5 2.5 3.25 3.25 3
"155" 3 2 3 1 2 3 2 4 1 3 1 3 7 5 4.5 3.5 3 5 1.8 2.66666666666667 "Langjähriges Interesse, Verstehen wollen" 1 3 4 5 3 2 2 2 1 2 1 1 1 0 6 3.75 3.5 2.75 6
"156" 3 2 2 1 2 3 3 3 1 3 1 3 5 2.5 4 5 3.5 4 2.1 2.66666666666667 NA NA NA 4 4 NA 2 1 1 2 3 0 1 0 0 5 3.5 2.5 3.25 5
"157" 3 2 3 2 3 2 3 2 2 3 3 2 4 4 4.5 2.5 4 2 3.3 2.83333333333333 "Interesse, Wunsch Menschen zu helfen" 4 2 4 5 1 2 1 2 2 2 0 1 0 0 6 3 3 2.25 5
"158" 4 3 2 1 2 3 2 3 2 2 1 3 5.2 4 3.5 3.5 3.5 5 2.6 3.16666666666667 "Arbeit mit anderen Personen, Hilfe und Vertrauen schenken" 4 2 4 5 3 2 2 2 1 2 0 1 0 0 5 3.25 3 3.5 6
"159" 3 2 2 2 3 4 4 3 2 2 1 4 6.4 5 2 4 2.5 4 2.2 1.83333333333333 "daran interessiert, anderen Menschen zu helfen" 4 2 2 5 3 2 2 1 2 1 0 1 1 1 6 3 1.75 4 6
"160" 3 2 1 1 3 3 4 4 1 3 1 3 5.6 3.5 4.5 3 3 5 2.4 4.5 "Interesse" 4 2 2 5 3 2 2 1 2 1 0 1 1 0 6 3.75 3 4 6
"161" 2 2 4 2 2 1 2 2 4 2 3 1 5 4.5 3.5 3.5 3 5 3.2 2.83333333333333 "interesse an Forensik + klinischer Psychologie" 4 3 5 5 3 2 1 2 1 1 0 1 0 0 6 1 1.25 1.75 6
"162" 2 3 4 2 3 2 3 3 3 2 1 1 3.6 4 4 3.5 5 3 3.5 3 "Interesse, Berufswunsch" 4 2 4 5 3 2 1 2 2 3 0 1 0 0 6 3.5 3 2.75 6
"163" 3 3 2 1 1 3 2 3 1 3 1 4 5.2 4.5 3 5 2 4.5 1.6 2.33333333333333 "Passt zu meinen Interessen, Fähigkeiten " 2 2 1 5 1 2 2 1 2 3 0 1 1 0 5 3 1.75 3.5 6
"164" 1 3 4 3 4 3 3 1 1 2 2 1 6.6 3.5 3.5 4 5 4.5 2.4 3.16666666666667 "Traumberuf" 4 1 3 3 3 2 1 1 1 3 0 0 0 0 6 2.5 2.5 2 6
"165" 3 3 2 2 1 1 2 3 3 3 2 2 5.8 4 5 3.5 2.5 2 2.5 2 "Interesse" 4 2 3 5 3 2 1 1 2 1 0 1 1 0 5 2.75 2.25 2.25 5
"166" 3 3 2 2 2 2 3 3 2 2 3 1 3.8 3 4 2.5 4 2.5 2.7 2.33333333333333 "Da mich mehrere Menschen schon als Psychologen nennen und ich habe Erfahrungen gesammelt " 2 1 2 4 2 2 1 1 1 3 1 1 0 0 6 NA NA NA NA
"167" 3 4 1 1 3 4 4 3 2 3 2 4 3.6 3 4 2.5 4.5 3.5 2 2.5 NA 2 3 4 4 3 2 1 1 2 NA 0 1 1 0 6 3.75 2.25 4 6
"168" 3 2 3 2 2 2 3 3 3 2 1 2 4 3 3.5 3.5 4 2 2.4 3.33333333333333 "Interessiere mich dafür" 4 2 5 5 1 2 1 1 1 4 0 1 0 0 6 3 2.5 2 6
"169" 3 2 2 1 3 1 3 3 3 1 3 3 3.8 3 3 3 5 3.5 2.5 2.66666666666667 "'zweite Option nach Medizin" 2 3 4 4 1 2 2 1 2 1 0 1 1 0 6 3 2 1.75 5
"170" 2 2 3 1 3 2 2 3 3 2 1 2 5.6 2.5 5 2 4 3 2.8 2.83333333333333 "Interesse an Studieninhalten" 1 2 2 5 1 2 2 1 2 4 0 1 0 0 6 3.25 2.5 2.75 5
"171" 2 4 1 1 2 4 1 3 1 4 1 3 5.2 5 3 2.5 2.5 5 3.3 3.5 "Vielfalt" 1 1 4 4 1 1 1 2 1 2 0 1 0 0 3 NA NA NA NA
"172" 2 2 3 2 2 2 4 2 3 2 2 2 5.8 1 3.5 3.5 5 4 3 4.16666666666667 "Interesse am menschlichen Verhalten und dessen Ursachen" 4 2 4 5 3 2 1 2 1 2 0 1 0 0 6 NA NA NA NA
"173" 4 2 1 1 1 4 4 3 1 3 1 3 5.4 4 4.5 3 1 4 2.1 3.83333333333333 "Passion" 4 2 5 5 3 2 1 2 2 3 1 1 0 0 6 3.75 3.5 3.75 6
"174" 3 2 3 2 3 2 3 2 3 1 2 2 3.6 2.5 4 3.5 4.5 4 3.1 2.66666666666667 NA 1 2 3 4 1 1 1 1 2 3 0 1 0 0 6 3.25 2 3 6
"175" 4 3 1 1 2 4 2 4 1 2 1 4 6.2 4 3 2.5 2.5 4 1.9 2.5 NA 1 2 2 5 NA 2 2 1 2 NA 0 1 1 0 5 4 3.25 4 5
"176" 2 3 2 1 1 2 1 3 2 3 1 3 6 3.5 4 2 3 4 3.6 2.16666666666667 "Die Bandbreite an Themen und Inhalten" 3 2 3 5 3 2 2 1 2 1 0 1 0 1 6 3.25 3 2.75 6
"177" 4 3 1 1 2 3 2 4 1 3 1 2 6.2 4 4 3.5 2 4 2.1 2.66666666666667 "Kombination mit vorherigem Studium " 2 4 5 5 3 2 1 1 1 4 0 1 1 1 5 3.75 3 3.5 5
"178" 3 2 4 2 3 2 3 3 3 2 2 2 6 2.5 4 4 3 3.5 2.1 3.66666666666667 "Interesse" 1 1 4 4 3 1 1 1 1 3 1 1 0 1 5 3 2.25 2.75 5
"179" 3 2 2 1 1 3 3 4 2 3 2 2 5.4 2 5 4 4.5 3.5 2.2 2.16666666666667 NA NA NA 3 5 NA 2 2 2 2 NA 0 1 0 0 6 3.5 3 2.75 6
