"prok1" "prok2" "prok3" "prok4" "prok5" "prok6" "prok7" "prok8" "prok9" "prok10" "nr1" "nr2" "nr3" "nr4" "nr5" "nr6" "lz" "extra" "vertr" "gewis" "neuro" "intel" "nerd" "grund" "fach" "ziel" "lerntyp" "geschl" "job" "ort" "ort12" "wohnen" "uni1" "uni2" "uni3" "uni4"
"123" 2 3 3 2 3 1 4 4 1 2 1 4 2 5 3 3 5.4 3.5 3.75 4 3.5 4.5 3.5 "Aus Interesse." 5 3 1 1 1 2 1 2 0 1 0 0
"124" 3 3 3 2 3 3 1 2 3 3 1 2 3 4 3 3 5 4 4.75 4.25 4.5 3.25 2.33333333333333 "Eigene Erfahrungen, Ich möchte Leuten weiterhelfen " 4 2 3 1 1 2 1 2 0 1 1 0
"125" 4 2 2 3 2 3 3 3 4 4 2 5 4 3 4 3 6 4 5 3.5 3 3.25 2.33333333333333 "Interesse" 3 2 3 1 1 1 1 1 0 1 0 0
"126" 2 3 2 3 3 2 3 3 3 3 5 3 4 5 4 5 3 2.25 2.75 4 1.25 3.5 3 "Zukunftsfeld" 5 3 1 2 1 1 1 1 1 0 0 0
"127" 4 3 1 4 4 4 2 2 4 4 4 5 4 4 4 1 4.8 2.25 3.75 3.5 4 3.5 3.5 "Hintergründe menschliches Verhalten " 2 3 1 1 2 1 2 4 0 1 0 0
"128" 3 3 2 3 3 2 3 3 3 4 2 4 3 3 2 2 6 4.25 4.5 3.5 2.5 3.5 1.83333333333333 "Interesse an Menschen,wie sie funktionieren, wie man ihnen helfen kann" 4 4 3 1 2 1 2 1 0 1 1 0
"129" 3 2 2 3 3 2 3 3 3 3 2 2 3 4 2 2 3.4 3.25 3.5 3.25 3.5 3.25 3.66666666666667 NA NA NA NA NA NA NA NA NA 0 0 0 0
"130" 3 4 2 3 2 4 2 4 4 1 2 4 3 5 4 3 6.4 3.25 4.25 3.75 4 4 3.5 "viele Chancen, generelles und tiefergehendes Interesse am Feld, Desinteresse an anderen Studiengängen, Aussicht auf gutes Einkommen" 1 2 3 2 2 1 2 1 0 1 1 0
"131" 3 2 2 3 2 3 2 2 3 3 2 4 3 4 3 3 3.6 3 4 4.25 3.75 2.75 3.16666666666667 "Interesse an Thematik" 4 2 3 1 1 1 1 3 1 1 0 0
"132" 3 2 2 4 2 2 3 3 1 4 2 4 3 5 3 1 5.2 3.75 4 3 2.75 3.5 4.5 "Interesse aber auch Ausschluss anderer Studiengänge" 3 4 3 2 2 1 1 2 0 1 1 1
"133" 2 3 3 3 3 4 2 2 4 4 5 4 3 4 3 5 5 3.75 5 4.25 4.25 3.25 3.66666666666667 "Interesse an den Ursachen von menschlichem Verhalten" 3 3 3 1 1 1 2 3 0 1 0 0
"134" 1 3 4 1 4 2 4 4 1 1 3 5 3 2 4 2 4.8 2.25 4.75 5 3.25 4 4.16666666666667 "Interesse an Forschung " 5 3 1 1 1 1 1 1 0 0 0 0
"135" 2 3 3 2 3 2 4 3 3 3 3 5 5 5 4 5 5.8 3.5 4.5 4 4.25 4.5 2.66666666666667 "Interesse an Menschen" 4 2 3 1 2 1 1 2 0 1 0 1
"136" 3 3 1 3 3 2 3 3 1 3 4 4 2 5 3 3 4.8 3.25 4.25 4.25 3.75 4 3.33333333333333 "ich finde alles in Verbindung mit menschlichem Verhalten sehr interessant, sogut wie alle Fächer, Statistik, Neurobiologie, Sozialpsychologie, Differentielle Psychologie usw. erwecken in mir großed Interesse und den Willen daran, in diesem Bereichen mein Wissen zu erweitern und anwenden zu können, um mir selbst und auch anderen helfen zu können, aber auch einfach um uns Menschen besser verstehen zu können, um Daten richtig auswerten zu können und die Mathematik und Logik dahinter zu verstehen " 1 3 1 1 1 2 1 2 0 1 0 0
"137" 2 4 2 2 3 2 3 3 4 3 1 3 1 1 1 1 5.8 3.25 2.5 4.25 4.25 3.75 2.66666666666667 "Interesse" 4 1 1 1 1 2 1 2 0 1 0 0
"138" 4 2 2 2 4 2 3 4 4 1 5 4 3 2 4 1 5.2 4 3.25 3.25 4.5 3.5 2.66666666666667 "Ich möchte Menschen am Tiefpunkt ihres Lebens helfen" 4 2 3 1 1 2 1 1 1 1 0 0
"139" 2 4 2 3 3 2 3 4 2 2 4 5 4 4 4 3 5.2 2.25 3.25 4.5 3 4 4.5 "Interesse an menschlichem Verhalten und dessen Ursprung" 2 1 1 1 1 2 1 2 0 1 1 0
"140" 3 4 2 2 3 3 4 4 4 3 2 4 4 5 4 3 6.4 3.75 4 4.75 4 3.75 3.33333333333333 "Besonders mein Interessengebiet" 3 1 1 1 2 1 1 3 0 1 1 0
"141" 1 3 1 2 2 2 3 3 3 2 2 3 5 5 5 5 4.8 3.5 3.75 4.25 4.25 4.5 4.33333333333333 NA 3 2 3 1 1 2 1 4 1 1 0 0
"142" 4 3 1 4 2 4 2 2 4 4 2 4 2 2 2 2 3.8 4 3.5 3 4.5 3.5 2.33333333333333 "Neugier" 4 2 3 1 1 1 1 1 0 1 0 1
"143" 3 4 2 4 3 3 3 2 3 1 4 4 4 4 5 4 4.6 3.75 4 4 4.25 4 2.5 NA 3 4 3 1 2 2 1 2 0 1 1 0
"144" 3 1 3 2 3 2 3 3 4 3 5 2 3 5 4 3 2.6 2.75 3.75 3.75 4 3.5 3.5 "Psychische Erkrankungen in der Familie" 2 2 1 1 1 2 1 4 0 1 0 0
"145" 3 4 2 3 4 2 3 2 2 4 1 3 3 2 4 2 6 2.75 3.75 4.5 4.5 4 4 "Berufliche Neuorientierung" 4 2 3 1 1 2 1 4 1 1 0 0
"146" 2 3 3 2 3 2 3 2 2 2 2 4 4 3 3 2 5 3.25 4.25 3.75 3 3.5 2.66666666666667 "Vielseitigkeit" 4 1 1 1 1 1 1 4 1 1 1 1
"147" 2 2 1 3 2 2 3 2 3 1 2 1 3 3 3 2 5.6 4.5 3.5 3.25 3.75 3 2.33333333333333 "Ich wollte nochmal etwas mit Sinn studieren." 4 2 3 1 1 1 1 1 1 1 1 1
"148" 2 3 3 2 4 3 4 3 2 3 1 2 1 1 1 1 3.2 3 5 4.25 3.75 3 1.83333333333333 "Persönliche Erfahrungen" 4 2 3 1 2 1 2 1 0 1 0 1
"149" 3 1 1 4 1 4 2 3 4 4 5 5 5 5 4 5 4.4 2.75 3.5 3.25 4.5 3 3.5 "Ausschlussprinzip " 4 2 1 1 1 2 1 2 0 1 1 0
"150" 4 3 2 2 3 3 1 2 3 4 2 4 1 1 1 1 6.4 3.75 4 4.25 4 3.5 3.66666666666667 NA 5 3 3 1 1 1 1 4 0 0 0 0
"151" 2 4 3 2 4 3 3 3 2 3 3 5 3 4 3 3 5.8 3.25 4.25 4.25 3.25 3.5 3.66666666666667 "Erweiterung meiner aktuellen beruflichen Kompetenzen, klares Berufsbild bekannt" 2 4 3 1 1 1 2 1 1 1 0 0
"152" 3 2 1 2 2 2 3 4 2 4 3 3 2 4 4 3 5.2 4.25 4.25 3.5 4.75 3 3 "Handlungen von Menschen verstehen und einordnen, eigene Emotionen/Situation besser angehen und bewältigen" 1 4 3 1 1 1 1 1 1 1 1 0
"153" 2 1 2 2 3 2 3 3 2 2 3 4 4 5 5 3 5.2 4.25 4.75 3.75 3.75 3.75 2.33333333333333 "ich finde das Verhalten von Menschen interessant" 3 1 1 1 1 1 1 2 0 1 1 0
"154" 3 2 1 4 3 4 2 2 3 3 4 4 5 4 5 2 3.6 3 4 4.25 4.75 3.75 3.16666666666667 "Persönliches Interesse, Facettenreich, Realitätsnahe" 1 3 1 1 1 2 1 2 0 1 1 0
"155" 2 4 2 3 3 4 3 2 2 2 3 4 3 5 3 2 5.8 3.5 4.5 4.75 3.5 3.75 3.5 "aus Persönlicher Erfahrung " 2 4 1 1 2 1 1 4 1 1 0 0
"156" 4 3 1 4 2 4 2 2 4 4 2 3 3 4 3 2 3 3 3.25 3.25 4.75 3 3.66666666666667 NA 3 2 1 1 2 2 1 2 0 0 0 0
"157" 3 4 2 3 3 2 4 3 3 3 5 5 1 4 5 1 5.6 3 3.5 4 2.25 3.75 3.16666666666667 "Forensik/Psychotherapie" 4 2 3 2 1 2 1 3 0 1 0 0
"158" 3 3 2 3 3 3 3 3 3 2 4 5 4 5 5 5 4.2 3.5 3.5 4 4.25 3 3 "Interesse" 4 2 3 1 1 2 2 2 1 1 0 0
"159" 3 3 2 3 3 3 3 3 3 2 3 4 4 4 4 3 5.4 4.5 3.5 4.25 3.25 2.75 2 "Klinisch,Menschen,persönliches Interesse " 4 2 3 1 2 1 1 1 0 1 0 0
